Column1,Year,NUTS ID,Country code,Name (latin characters),Yearly PM 2.5 average (µg/m³),Population estimate (GHSL 2020),0–5µg/m³ - population,5–10µg/m³ - population,10–15µg/m³ - population,15–20µg/m³ - population,20–25µg/m³ - population,25+ µg/m³ - population,0–5µg/m³ - percentage,5–10µg/m³ - percentage,10–15µg/m³ - percentage,15–20µg/m³ - percentage,20–25µg/m³ - percentage,25+ µg/m³ - percentage
51,2019,DE,DE,Deutschland,9.517755,82776266,186,44210922,38565158,0,0,0,2.24472E-06,0.534101432,0.465896323,0,0,0
52,2020,DE,DE,Deutschland,8.263018,82776266,1490,76211610,6563166,0,0,0,1.80016E-05,0.920693976,0.079288022,0,0,0
53,2021,DE,DE,Deutschland,8.744407,82776266,186,68444350,14331730,0,0,0,2.24472E-06,0.826859598,0.173138157,0,0,0
54,2022,DE,DE,Deutschland,8.240425,82776266,0,73045503,9730763,0,0,0,0,0.882445012,0.117554988,0,0,0
55,2018,DK,DK,Danmark,7.5973744,5150276,0,5150276,0,0,0,0,0,1,0,0,0,0
56,2019,DK,DK,Danmark,8.213374,5150276,0,5150276,0,0,0,0,0,1,0,0,0,0
57,2020,DK,DK,Danmark,6.3932347,5150276,0,5150276,0,0,0,0,0,1,0,0,0,0
58,2021,DK,DK,Danmark,6.4584584,5150276,6798,5143478,0,0,0,0,0.001319928,0.998680072,0,0,0,0
59,2022,DK,DK,Danmark,7.156166,5150276,0,5150276,0,0,0,0,0,1,0,0,0,0
60,2018,EE,EE,Eesti,5.27312,1169673,26205,1143468,0,0,0,0,0.022403458,0.977596542,0,0,0,0
61,2019,EE,EE,Eesti,5.54373,1169673,11558,1158115,0,0,0,0,0.009881069,0.990118931,0,0,0,0
62,2020,EE,EE,Eesti,4.9904075,1169673,184234,985439,0,0,0,0,0.157508716,0.842491284,0,0,0,0
63,2021,EE,EE,Eesti,4.8171215,1169673,385881,783792,0,0,0,0,0.329904765,0.670095235,0,0,0,0
64,2022,EE,EE,Eesti,5.0563583,1169673,115684,1053989,0,0,0,0,0.09890293,0.90109707,0,0,0,0
65,2018,EL,EL,Elláda,9.507339,9171546,0,2891402,6278190,1954,0,0,0,0.3152579,0.684529032,0.000213068,0,0
66,2019,EL,EL,Elláda,10.952105,9171546,0,540582,8028356,602608,0,0,0,0.05894123,0.8753547,0.06570407,0,0
67,2020,EL,EL,Elláda,9.336598,9171546,0,2674582,6495398,1567,0,0,0,0.291617344,0.708211847,0.000170808,0,0
68,2021,EL,EL,Elláda,8.503142,9171546,0,5106906,4064640,0,0,0,0,0.556820639,0.443179361,0,0,0
69,2022,EL,EL,Elláda,9.362996,9171546,0,2697773,6059636,414138,0,0,0,0.294145883,0.660699462,0.045154654,0,0
70,2018,IE,IE,Éire/Ireland,4.670731,4642947,1793458,2849489,0,0,0,0,0.386275779,0.613724221,0,0,0,0
71,2019,IE,IE,Éire/Ireland,5.4706497,4642947,355361,4287586,0,0,0,0,0.076537773,0.923462227,0,0,0,0
72,2020,IE,IE,Éire/Ireland,4.7420397,4642947,1435859,3207088,0,0,0,0,0.309256022,0.690743978,0,0,0,0
73,2021,IE,IE,Éire/Ireland,4.5468,4642947,2297105,2345842,0,0,0,0,0.494751565,0.505248435,0,0,0,0
74,2022,IE,IE,Éire/Ireland,5.7358656,4642947,157777,4485170,0,0,0,0,0.033982102,0.966017898,0,0,0,0
